task,metric,prior,augmented,delta
classification,auc,0.6052311526954564,0.6551414566943992,0.04991030399894281
classification,ap,0.23416127997763012,0.14480514902627703,-0.08935613095135309
classification,f1,0.2785292693199111,0.21083233299214882,-0.0676969363277623
classification,precision,0.2082744949356221,0.14521441948871602,-0.06306007544690609
classification,recall,0.5749847071256409,0.7193817307847816,0.14439702365914076
regression,mae,0.040117595372569426,0.016950499134769908,-0.023167096237799518
regression,rmse,0.058979180092459484,0.03660127049380053,-0.02237790959865895
regression,r2,-22.981418068615792,-59.19844349623971,-36.21702542762392
