test_network,prior_est,pred_pos_rate,threshold,auc,ap,f1,precision,recall,recall_at_5pct,recall_at_10pct,pos_rate_test
ieee118,0.07701343000820549,0.12500408163265306,0.2057142857142857,0.580516166594089,0.07393481469628935,0.10219045851123074,0.07189969307124665,0.17658380112269448,0.11098636728147554,0.1595829991980754,0.05089795918367347
ieee24,0.056455858952511984,0.09032558139534884,0.17616731150213072,0.5849270305576626,0.24820442213467275,0.17622689611217335,0.2847579814624099,0.1275957544993078,0.07383479464697738,0.13590216889709275,0.2015813953488372
ieee39,0.06970493323070615,0.11446428571428571,0.2814285714285714,0.5045105987672733,0.10346247958391622,0.13405670283514176,0.11950078003120125,0.1526504583499402,0.06496612196094062,0.13551215623754484,0.08960714285714286
uk,0.07372444699350614,0.11796875,0.19969257722627126,0.8123378725401637,0.13632544125476898,0.22481095442468832,0.1456953642384106,0.4919499105545617,0.26654740608228983,0.44856887298747766,0.0349375
