test_network,mae,rmse,r2,params
ieee118,0.017580073345120906,0.018756025599052345,-84.83539071957601,"{""md"": 22, ""ml"": 2}"
ieee24,0.02216710272128399,0.044324810165003496,-0.013235299258211652,"{""md"": 18, ""ml"": 2}"
ieee39,0.05284938847213659,0.07067972420489813,-14.61362330629932,"{""md"": 22, ""ml"": 2}"
uk,0.032269843519270265,0.05126780181237796,-0.19700573846116365,"{""md"": 18, ""ml"": 2}"
