round,test_network,auc,f1,acc
round3_lono,ieee118,0.4781197711129943,0.0,0.9491020408163265
round3_lono,ieee24,0.7053036055916115,0.0027598896044158236,0.7983255813953488
round3_lono,ieee39,0.5741344028782875,0.0,0.9103214285714286
round3_lono,uk,0.8603192736122113,0.085995085995086,0.965125
