seed,model,test_network,mae,rmse,r2
42,rf,ieee118,0.014872314365599043,0.03029862418355495,-299.4337240152451
42,xgb,ieee118,0.012558080486032288,0.026846596969408238,-234.8746945076729
42,rf,ieee24,0.01401535296851822,0.03962764103442948,-0.027696453937174015
42,xgb,ieee24,0.014003790221334037,0.039426417768230124,-0.017285973223922113
42,rf,ieee39,0.018544704116724518,0.03977180336253845,-5.557133961750269
42,xgb,ieee39,0.016494002709248414,0.03256919409260211,-3.397213107932968
42,rf,uk,0.014290328965338401,0.04853092078815301,-0.45169566228289293
42,xgb,uk,0.013627658253897829,0.044064029037903525,-0.19675961663921115
