task,auc,ap,f1,precision,recall,recall_at_10pct,mae,rmse,r2
classification,0.6046970771850964,0.13818040457065817,0.15881569883411567,0.15324014255123572,0.25586161374154004,0.2107229522139411,,,
regression,,,,,,,0.031216602014452935,0.04625709044533298,-24.914813765898675
