recall,precision
1.0,0.04980539861895794
0.9955886059994958,0.051291541668290024
0.9932568691706579,0.051227130455131976
0.9932568691706579,0.051835505068112006
0.9932568691706579,0.05183874437161022
0.9932568691706579,0.05184948811748296
0.9919334509705067,0.05180358083201685
0.9918074111419208,0.05180774054651932
0.9918074111419208,0.051812686832505894
0.9907360725989413,0.05181779228056297
0.9907360725989413,0.051818133874774214
0.9907360725989413,0.05181984191338858
0.9906730526846483,0.05181722889898278
0.9906730526846483,0.051819961893208685
0.9906730526846483,0.05182252433713651
0.9906730526846483,0.05182269517574223
0.9906730526846483,0.05182491618012126
0.9906730526846483,0.05214985453109916
0.9906730526846483,0.05228306022197019
0.9906730526846483,0.052284103570418905
0.9906730526846483,0.05228427746587553
0.9906730526846483,0.05229471331053479
0.9906730526846483,0.05230028079794525
0.9906730526846483,0.05230045480102871
0.9906730526846483,0.05230967862158007
0.9906730526846483,0.05230985268720239
0.9906730526846483,0.052310897105264036
0.9906730526846483,0.05231141932993465
0.9906100327703554,0.052310876828667655
0.9906100327703554,0.052311573174303135
0.9906100327703554,0.05231279182377588
0.9906100327703554,0.05232602653085002
0.9906100327703554,0.052327768438223
0.9906100327703554,0.052328291033050145
0.9906100327703554,0.05232863943540065
0.9906100327703554,0.052328987842390505
0.9906100327703554,0.05232985888016299
0.9905470128560625,0.0523267039969106
0.9905470128560625,0.05232687819802184
0.9905470128560625,0.052327052400292964
0.9905470128560625,0.05232983979438281
0.9905470128560625,0.05233071091593726
0.9905470128560625,0.052331059372679845
0.9905470128560625,0.052331233602791356
0.9905470128560625,0.05233193053483912
0.9905470128560625,0.05233210477075156
0.9905470128560625,0.0523985731906524
0.9905470128560625,0.0523987478706133
0.9905470128560625,0.052464159949264844
0.9905470128560625,0.052524995989948135
0.9905470128560625,0.0525256980925265
0.9905470128560625,0.05254975644167472
0.9905470128560625,0.052551864792122906
0.9905470128560625,0.052552040495630135
0.9905470128560625,0.05255221620031228
0.9905470128560625,0.05255239190616934
0.9905470128560625,0.0525534461659857
0.9905470128560625,0.05255397331175627
0.9905470128560625,0.05255414902936319
0.9905470128560625,0.05255502763502375
0.9905470128560625,0.052555203359681155
0.9905470128560625,0.052555379085513665
0.9905470128560625,0.05255555481252132
0.9905470128560625,0.05255573054070411
0.9905470128560625,0.05255660919924566
0.9905470128560625,0.0525573121472327
0.9905470128560625,0.05255748788716759
0.9905470128560625,0.05255766362827775
0.9905470128560625,0.05256100293268861
0.9905470128560625,0.05256170599821428
0.9905470128560625,0.052562057538030414
0.9905470128560625,0.05256293640814361
0.9905470128560625,0.0525638153076478
0.9905470128560625,0.05256416687567929
0.9904839929417696,0.052561701558424184
0.9904839929417696,0.052561877338898194
0.9904839929417696,0.052562228903373386
0.9904839929417696,0.052563459416073044
0.9904839929417696,0.052564689986388094
0.9904839929417696,0.052565041588489674
0.9904839929417696,0.05256521739130435
0.9904839929417696,0.05256556900046154
0.9904839929417696,0.05256943701166649
0.9904839929417696,0.05256978867727628
0.9904839929417696,0.05256996451184555
0.9904839929417696,0.052570316184512876
0.9904839929417696,0.05257066786188535
0.9904839929417696,0.052570843702336036
0.9904839929417696,0.052571019543963045
0.9904839929417696,0.052571371230746074
0.9904839929417696,0.05257611946289866
0.9904839929417696,0.05257647121791956
0.9904839929417696,0.05257664709719504
0.9904839929417696,0.05257682297764724
0.9904839929417696,0.05257717474208181
0.9904839929417696,0.05257735062606421
0.9904839929417696,0.05257787828507199
0.9904839929417696,0.05257805417376149
0.9904839929417696,0.05257823006362779
0.9904839929417696,0.052578757740287634
0.9904839929417696,0.05257893363486127
0.9904839929417696,0.052581924022682795
0.9904839929417696,0.052582099938441776
0.9904839929417696,0.05258227585537783
0.9904839929417696,0.052582451773490975
0.9904839929417696,0.05258262769278122
0.9904839929417696,0.052582979534893055
0.9904839929417696,0.052583683233242445
0.9904839929417696,0.05258473881608222
0.9904839929417696,0.05258491475067584
0.9904839929417696,0.05258509068644672
0.9904839929417696,0.052585266623394876
0.9904839929417696,0.05258544256152032
0.9904839929417696,0.052585618500823064
0.9904839929417696,0.05258579444130312
0.9904839929417696,0.0525859703829605
0.9904839929417696,0.05259230506682371
0.9904839929417696,0.05259459296664023
0.9904839929417696,0.052594768967178886
0.9904839929417696,0.05259529697586245
0.9904839929417696,0.05259564898754129
0.9904839929417696,0.05259582499514768
0.9904839929417696,0.052596001003932066
0.9904839929417696,0.05259617701389446
0.9904839929417696,0.05259635302503489
0.9904839929417696,0.05259652903735334
0.9904839929417696,0.05259740911661653
0.9904839929417696,0.0526587350780148
0.9904839929417696,0.05265891150810137
0.9904839929417696,0.05270093551956544
0.9904839929417696,0.05270111223254613
0.9904839929417696,0.05270128894671191
0.9904839929417696,0.05270146566206279
0.9904839929417696,0.052701642378598784
0.9904839929417696,0.052701819096319893
0.9904839929417696,0.052705707186044407
0.9904839929417696,0.05270835848525091
0.9904839929417696,0.052708535248015505
0.9904839929417696,0.05270977262056476
0.9904839929417696,0.052709949392814384
0.9904839929417696,0.05271012616624969
0.9904839929417696,0.052710479716677396
0.9904839929417696,0.052714899497234624
0.9904839929417696,0.05271507630387389
0.9904839929417696,0.05271525311169918
0.9904839929417696,0.05271542992071052
0.9904839929417696,0.05271649079968606
0.9904839929417696,0.05271666761700001
0.9904839929417696,0.0527168444355001
0.9904839929417696,0.05271702125518634
0.9904839929417696,0.052717198076058736
0.9904839929417696,0.05271790537141017
0.9904839929417696,0.05271843585537901
0.9904839929417696,0.05271861268574112
0.9904839929417696,0.0527187895172895
0.9904839929417696,0.05271896635002415
0.9904839929417696,0.0527191431839451
0.9904839929417696,0.052734709215907984
0.9904839929417696,0.05274107978778737
0.9904839929417696,0.05274143375357801
0.9904839929417696,0.052741610738255035
0.9904839929417696,0.05274178772411988
0.9904839929417696,0.05274196471117256
0.9904839929417696,0.05274214169941308
0.9904839929417696,0.05274231868884146
0.9904839929417696,0.052742672671261835
0.9904839929417696,0.05274284966425386
0.9904839929417696,0.052743026658433785
0.9904839929417696,0.052743203653801626
0.9904839929417696,0.05274338065035739
0.9904839929417696,0.05274444265463918
0.9904839929417696,0.052745327690877544
0.9904839929417696,0.05274603574125346
0.9904839929417696,0.052746212756817706
0.9904839929417696,0.05274674381063929
