test_network,auc,f1,acc,pos_rate_test
ieee118,0.5056048706031361,0.0,0.9491020408163265,0.05089795918367347
ieee24,0.5,0.3355268251141906,0.2015813953488372,0.2015813953488372
ieee39,0.5267187745551032,0.164476056245698,0.08960714285714286,0.08960714285714286
uk,0.49462241596757184,0.06751615435714717,0.0349375,0.0349375
