test_network,mae,rmse,r2
ieee118,0.006125500735767876,0.019695390338102015,-125.94980829071291
ieee24,0.03587448379743359,0.049708727710840304,-0.617088216688545
ieee39,0.003801220736739095,0.017250450297130213,-0.23357159822720197
uk,0.008501923854801263,0.04033083858577235,-0.0025661121924867025
