test_network,auc,ap,f1,precision,recall
ieee118,0.7028819002619822,0.08924996632237013,0.1461455950335558,0.07966387598182778,0.8832033042680129
ieee24,0.7184746423319728,0.3148757697732712,0.4655012662919266,0.3724056137576596,0.6206555756876956
ieee39,0.46156152833253317,0.08028435964145464,0.12993991864760981,0.07479164876707621,0.4947428246660983
uk,0.7376477558511085,0.09481050036801211,0.1017425519955031,0.05399653944830055,0.8789252185173195
