test_network,threshold,auc,ap,f1,precision,recall
ieee118,0.029226420547023978,0.5636712069746647,0.07669234919800309,0.09686715915887924,0.05089879018432954,1.0
ieee24,0.30362298060589576,0.5927039576789762,0.22681802533667123,0.0017857142857142857,0.0273972602739726,0.0009229349330872173
ieee39,0.31742288266986746,0.5059450956353917,0.09203464977426917,0.0038910505836575876,0.08196721311475409,0.0019928258270227183
uk,0.3431832029693348,0.8891919183054571,0.1602750038316339,0.09152244059841595,0.1329923273657289,0.06976744186046512
