setting,auc,f1,acc,mae,rmse,r2
baseline+domain_cal,0.6152268524213,0.0045098039215686276,0.9057886435097295,0.033898354914512464,0.048706625080424545,-39.36369774909103
fused_ssl+domain_cal,0.6382276528338406,0.0,0.9057350720811581,0.032734633779837576,0.046163053084211744,-18.119445872057664
