test_network,auc,ap,f1,precision,recall
ieee118,0.7413116013137416,0.07620566205635998,0.12636711029121098,0.08107879607710518,0.28626865671641794
ieee24,0.7319821760059098,0.27895424776737876,0.3906081473492077,0.30496178261432827,0.5431472081218274
ieee39,0.624032077364103,0.09299286475590182,0.03026481715006305,0.08362369337979095,0.018475750577367205
uk,0.880387421804981,0.11368428323494191,0.11770157553290084,0.06267053701015965,0.9655635062611807
