test_network,auc,f1,threshold,train_best_f1,pos_rate_test
ieee118,0.5953210034965954,0.0,0.59957736991184,0.9993945731740878,0.05089795918367347
ieee24,0.6169205893686348,0.0,0.7257604697342415,0.9903666164452358,0.2015813953488372
ieee39,0.4678554012271917,0.0,0.6898368559094391,0.99573902505766,0.08960714285714286
uk,0.846942601441299,0.0,0.6650439948323892,0.9965199434012774,0.0349375
