test_network,mae,rmse,r2
ieee118,0.47722006522737365,0.47723513214388885,-55570.17365941696
ieee24,0.37860630833954295,0.38277327749894513,-74.5613597346493
ieee39,0.4117404660564258,0.412189949623119,-530.0174604690174
uk,0.3470380677648008,0.34908538382670307,-54.497084646046865
