test_network,auc,ap,f1,precision,recall,threshold
ieee118,0.6578458226418813,0.08147077307621581,0.14595431668602402,0.10799197937553709,0.22507462686567165,0.7132692933082581
ieee24,0.5968066689245826,0.2552999289022542,0.1796529431779517,0.34196891191709844,0.1218274111675127,0.22791053354740143
ieee39,0.6514111473248708,0.11350062871443722,0.13220539051741098,0.1352112676056338,0.12933025404157045,0.9813625812530518
uk,0.8417909783164551,0.15112158685170798,0.19026407890550429,0.12470457389128319,0.4011627906976744,0.8271412253379822
