test_network,mae,rmse,r2
ieee118,0.01290457691268237,0.023579500826992564,-180.9583870549282
ieee24,0.014644372065344313,0.0402501881943195,-0.06024015391609461
ieee39,0.010633844865817248,0.020612907691150886,-0.7613351659826451
uk,0.015088203838971435,0.04113082555136117,-0.04273360320670161
