variant,auc,f1,precision,recall,acc
rf_balanced,0.6317600121601283,0.0,0.0,0.0,0.9057440006525866
rf_sample_weighted,0.6519657742252848,0.005080109417741305,0.13,0.0025906735751295338,0.9057618577954438
rf_weighted_netnorm,0.6621941161132938,0.004366812227074236,0.09259259259259259,0.0022361359570661895,0.905633872953251
