round,model,C,auc,f1,acc,max_depth,min_samples_leaf,n_estimators
round2_netnorm,logreg,0.5,0.8420910024507137,0.3298940707112395,0.7970416666666666,,,
round2_netnorm,logreg,1.5,0.8421139607536337,0.3298940707112395,0.7970416666666666,,,
round2_netnorm,rf,,0.9974139233412604,0.9098984771573604,0.9881666666666666,20.0,1.0,250.0
round2_netnorm,rf,,0.997642881268153,0.9027477616548317,0.986875,20.0,3.0,250.0
round2_netnorm,et,,0.9800062163583081,0.6742718446601942,0.9440833333333334,20.0,1.0,250.0
round2_netnorm,et,,0.979576430108348,0.6340368208352043,0.9320833333333334,20.0,3.0,250.0
