test_network,threshold,auc,ap,f1,precision,recall,recall_at_10pct,params
ieee118,0.21142857142857144,0.6152931497814684,0.07860176298804197,0.10030383446790508,0.06597187088940605,0.20914194065757818,0.15862068965517243,"{""wb"": 12.0, ""md"": 22, ""qm"": 2.0}"
ieee24,0.20857142857142857,0.5949500429073881,0.2652212757124553,0.21842696629213484,0.3114053823152499,0.16820489155514537,0.1534379326257499,"{""wb"": 16.0, ""md"": 22, ""qm"": 2.0}"
ieee39,0.33904761904761904,0.4865668169537685,0.10682309541978824,0.1275804351869072,0.1195955369595537,0.13670785173375846,0.12475089677162216,"{""wb"": 8.0, ""md"": 18, ""qm"": 1.6}"
uk,0.188,0.7219782990977601,0.10207548416234723,0.1889515593895156,0.1159877800407332,0.509391771019678,0.40608228980322003,"{""wb"": 12.0, ""md"": 22, ""qm"": 2.0}"
