test_network,mae,rmse,r2
ieee118,0.02104340503034424,0.02456952736892638,-196.55884074143057
ieee24,0.016199940803510466,0.03902166574012379,0.0034937514602476627
ieee39,0.0785507526221203,0.09507322830402969,-36.46967890130262
uk,0.02616624479236765,0.0446870688783932,-0.23084185185536965
