test_network,mae,rmse,r2
ieee118,0.011952545695057812,0.0224317881599994,-163.67613083870896
ieee24,0.014918897258709589,0.04074484570425621,-0.08646007715256743
ieee39,0.010292506031491795,0.02103573048413316,-0.834335136610975
uk,0.014658771276253132,0.041045299493641434,-0.03840166125021627
