test_network,threshold,auc,ap,f1,precision,recall
ieee118,0.35,0.6988419426336793,0.1420511821004131,0.0,0.0,0.0
ieee24,0.35,0.610144153608288,0.2567530922328565,0.0,0.0,0.0
ieee39,0.35,0.4947336034120093,0.09324627628124546,0.13790970933828076,0.08554713723985806,0.35552012754085294
uk,0.35,0.7904041028294093,0.12872849466771785,0.0,0.0,0.0
