mode,test_network,mae,rmse,r2
m1_two_stage,ieee118,0.02219029253525409,0.023491438690366517,-76.58052799593547
m1_two_stage,ieee24,0.02740480751021699,0.05452712787008391,-0.017651671752145992
m1_two_stage,ieee39,0.06953535098562656,0.09253256548886588,-15.208288649542911
m1_two_stage,uk,0.04133993045918006,0.06536558832052164,-0.11920395723262533
m2_unsup_threshold,ieee118,0.02219029253525409,0.023491438690366517,-76.58052799593548
m2_unsup_threshold,ieee24,0.02740480751021699,0.05452712787008391,-0.017651671752145992
m2_unsup_threshold,ieee39,0.06953535098562656,0.09253256548886588,-15.208288649542911
m2_unsup_threshold,uk,0.04133993045918006,0.06536558832052164,-0.11920395723262533
m3_sample_transfer,ieee118,0.03229323891130637,0.03311238211335588,-153.13964375633586
m3_sample_transfer,ieee24,0.02255722757064716,0.05424681528812539,-0.007215496356816065
m3_sample_transfer,ieee39,0.03447332017489262,0.03837409076233306,-1.7875595419582155
m3_sample_transfer,uk,0.05353264828449347,0.070368937336602,-0.29709825059125117
