test_network,mae,rmse,r2
ieee118,0.018064148490732523,0.019126713362124095,-88.2617616415583
ieee24,0.023479174919691734,0.044643270045245084,-0.02784715882483968
ieee39,0.05082969042861945,0.06712041481485835,-13.08066832492462
uk,0.02696789424775054,0.04908796973824182,-0.09737984446187298
