model,auc,f1,acc,precision,recall
logistic_regression,0.775410787077493,0.29006085192697767,0.836864406779661,0.20210715662341,0.5135488083578191
random_forest,0.9997622966764859,0.9662355115068033,0.9957415254237288,0.9951557093425606,0.9389487430623572
