test_network,mae,rmse,r2,setting
ieee118,0.022230376999336866,0.023103180572122,-129.2351755578452,baseline
ieee24,0.02561715680283284,0.04578408072931989,-0.08104940033465957,baseline
ieee39,0.059562899256325796,0.07768443344323292,-17.86175113827991,baseline
uk,0.030318007296709908,0.05051354296779949,-0.16204380555632314,baseline
ieee118,0.02000596370210023,0.021913770694209373,-116.1706881343094,graphmae_v1_fused
ieee24,0.02488347437634704,0.04502050542061266,-0.04529115475416079,graphmae_v1_fused
ieee39,0.05561647090253848,0.06977906027410839,-14.218233306028685,graphmae_v1_fused
uk,0.033959331475996564,0.052208276009332956,-0.24132511907664567,graphmae_v1_fused
