test_network,mae,rmse,r2
ieee118,0.015467723915515298,0.016561385292532243,-65.92341228503032
ieee24,0.021440990101823973,0.044337512772815973,-0.013816128587332166
ieee39,0.056100801312049954,0.07473598941130466,-16.457159575195757
uk,0.03362538738687933,0.0518662233853288,-0.2251128390742143
