seed,model,test_network,threshold,auc,ap,f1,precision,recall
42,rf,ieee118,0.25,0.7335343724481517,0.07341811097973075,0.0002576323586242432,0.0009407337723424271,0.00014925373134328358
42,xgb,ieee118,0.25,0.6906707297307122,0.06435390249633921,0.0019374481040686411,0.013307984790874524,0.001044776119402985
42,rf,ieee24,0.25,0.7409720609253465,0.30797116174026007,0.21252973830293417,0.33992897006595635,0.15459160129210892
42,xgb,ieee24,0.25,0.7427173854308892,0.27881694146541147,0.28489702517162474,0.2825692237857467,0.2872634979233964
42,rf,ieee39,0.25,0.6266450163041132,0.08860926895045769,0.0007482229704451926,0.013333333333333334,0.00038491147036181676
42,xgb,ieee39,0.25,0.48702228609468645,0.06859984799028951,0.07105755246208185,0.07720090293453724,0.06581986143187067
42,rf,uk,0.25,0.8885882221295405,0.12640849183711736,0.20729899962949241,0.13072429906542057,0.5004472271914132
42,xgb,uk,0.25,0.7919762589048055,0.0925181544722796,0.10583580613254204,0.060330785615837615,0.43067978533094814
