round,model,alpha,mae,rmse,r2,max_depth,min_samples_leaf,n_estimators
round1_baseline,ridge,0.5,0.006810723234467769,0.0258309161875821,0.038805808567296984,,,
round1_baseline,ridge,2.0,0.006717753037038895,0.025865714796127492,0.03621428216824185,,,
round1_baseline,rf,,0.0009363464828551953,0.009793820401803306,0.8618229907272057,20.0,1.0,250.0
round1_baseline,rf,,0.0011528382299611224,0.011716893641550196,0.8022317855688686,20.0,3.0,250.0
round1_baseline,et,,0.0008299198163784606,0.009075709133941413,0.8813431937653997,20.0,1.0,250.0
round1_baseline,et,,0.0011314508044039586,0.011033591085366222,0.8246259682551899,20.0,3.0,250.0
