test_network,mae,rmse,r2
ieee118,0.020938335748538046,0.030918460450854383,-236.29959376882655
ieee24,0.01716791121633606,0.04656677677646704,-0.05942111543272821
ieee39,0.010697516573081496,0.021083478668809354,-0.38024593116111705
uk,0.018998233001124028,0.04783636607907134,-0.05451316953843355
