test_network,auc,ap,f1,precision,recall,threshold
ieee118,0.6665217696200246,0.09085484159858505,0.15474321596770577,0.1032213024832951,0.30895522388059704,0.25
ieee24,0.673268399766584,0.28110240404735654,0.06057945566286216,0.6216216216216216,0.031841255191509,0.25
ieee39,0.6345851713609671,0.09487015058439044,0.16543759565882843,0.10096807065217392,0.4576597382602002,0.25
uk,0.7523136520034537,0.06904006373100235,0.11983869240926448,0.06511537715726197,0.7508944543828264,0.25
