threshold,auc,ap,f1,precision,recall,utility
0.12,0.7444283191221839,0.14045926445364562,0.16623541258084562,0.13308370227034602,0.4533637804191983,0.27340359323262337
0.16,0.7444283550260162,0.14045899992559976,0.12977976115023218,0.12079144725831932,0.32577768742027086,0.25394649629127125
0.2,0.7444282869438634,0.1404592128142223,0.12116485045437539,0.12775116893770405,0.24876686142103288,0.25033504207257523
0.25,0.7444283774548235,0.14045917200430907,0.10415581524172887,0.12512612892383224,0.17623645452442158,0.24156803040507419
