test_network,auc,ap,f1,precision,recall,setting
ieee118,0.5368779691308165,0.07432511845260517,0.10880458124552612,0.07544828442017745,0.195028067361668,baseline
ieee24,0.6372274227593088,0.33812812565389966,0.25877336831748116,0.44727891156462585,0.1820489155514536,baseline
ieee39,0.5006687704890851,0.12291090263306692,0.15445769449176605,0.14708002883922133,0.1626145874850538,baseline
uk,0.668594941110597,0.06850989117487383,0.10955897026541608,0.07051117390187515,0.24552772808586762,baseline
ieee118,0.6425750833092183,0.08962817454606342,0.1687061795061621,0.11579387852702057,0.3106655974338412,graphmae_v1_fused
ieee24,0.6109345974305247,0.2793208434038277,0.16563819421890225,0.27960526315789475,0.11767420396862022,graphmae_v1_fused
ieee39,0.5138022127050866,0.10051536909804565,0.10199143867485576,0.09567039106145252,0.10920685532084495,graphmae_v1_fused
uk,0.7325088398403572,0.07825653615134381,0.12377402903099255,0.0792713567839196,0.2822003577817531,graphmae_v1_fused
