test_network,mae,rmse,r2
ieee118,0.007845048370895266,0.008659385837945465,-17.296117335162126
ieee24,0.017544464251279805,0.04443408776492721,-0.018237482443810293
ieee39,0.0119263281037628,0.020405223629677532,-0.301357809048695
uk,0.012480537957388883,0.04693738720176907,-0.003331991827422165
