test_network,auc,best_f1_on_test_grid,best_threshold_on_grid,pos_rate_test
ieee118,0.6006997784662979,0.11240379452299983,0.2,0.05089795918367347
ieee24,0.6203333141391256,0.41532380662815443,0.15,0.2015813953488372
ieee39,0.514693468895836,0.17107670654468685,0.15,0.08960714285714286
uk,0.7690206309573089,0.15718876624283917,0.25,0.0349375
