section,threshold,auc,ap,f1,precision,recall,mae,rmse,r2
classification_final,0.12,0.7444283191221839,0.14045926445364562,0.16623541258084562,0.13308370227034602,0.4533637804191983,,,
regression_final,,,,,,,0.012955680065378082,0.031314415960507554,-41.15883192843068
