round,test_network,mae,rmse,r2
round3_lono,ieee118,0.018091542623191258,0.028438967969391733,-196.33877090795647
round3_lono,ieee24,0.02010379966547655,0.04635781076471228,-0.10831287798340217
round3_lono,ieee39,0.020229677042469564,0.031161267436025757,-2.0348989277484697
round3_lono,uk,0.019442257184443302,0.04810269671550841,-0.053769653258498584
