task,metric,prev_aug,v2,delta
classification,auc,0.6551414566943992,0.7490025971196831,0.09386114042528393
classification,ap,0.14480514902627703,0.15361107310963268,0.008805924083355648
classification,f1,0.21083233299214882,0.21288264927986422,0.0020503162877154035
classification,precision,0.14521441948871602,0.13655627106757395,-0.00865814842114207
classification,recall,0.7193817307847816,0.7369172592447913,0.01753552846000972
regression,mae,0.016950499134769908,0.013317749420703842,-0.003632749714066066
regression,rmse,0.03660127049380053,0.03139335556595603,-0.005207914927844504
regression,r2,-59.19844349623971,-45.45567399450841,13.742769501731303
