test_network,auc,ap,f1,precision,recall,threshold
ieee118,0.5743555855755245,0.04883408621241094,0.09423528180907827,0.04960114542851299,0.941044776119403,0.165625
ieee24,0.6370958089284005,0.20435366344454714,0.3311505337937056,0.1999712409528831,0.9626211352099677,0.28125
ieee39,0.6221307229589297,0.09262366688788493,0.1712046204620462,0.09399773499433749,0.9584295612009238,0.1331043046357616
uk,0.6412394130265485,0.03537821572278226,0.06833552651712213,0.03537818055071453,0.9986583184257602,0.3321654254659647
