test_network,mae,rmse,r2
ieee118,0.009652558776568513,0.034995113110377465,-399.7907296679247
ieee24,0.15083789932184666,0.16430457343500365,-16.667199854183917
ieee39,0.01116640044088062,0.021921424583296444,-0.9920536780331437
uk,0.013028873611529533,0.04117164679708605,-0.04480440080065873
