fpr,tpr
0.0,0.0
3.3032517209941465e-06,0.0
6.276178269888879e-05,0.0
6.276178269888879e-05,6.301991429291656e-05
0.00013213006883976586,6.301991429291656e-05
0.00013213006883976586,0.00012603982858583313
0.00015525283088672488,0.00012603982858583313
0.00015525283088672488,0.0001890597428787497
0.00018828534809666635,0.0001890597428787497
0.00018828534809666635,0.00025207965717166626
0.0001981951032596488,0.00025207965717166626
0.0001981951032596488,0.0003150995714645828
0.00020810485842263123,0.0003150995714645828
0.00020810485842263123,0.0003781194857574994
0.00026095688595853756,0.0003781194857574994
0.00026095688595853756,0.0004411394000504159
0.0002642601376795317,0.0004411394000504159
0.0002642601376795317,0.0005041593143433325
0.00027086664112152,0.0005041593143433325
0.00027086664112152,0.0006301991429291656
0.00028077639628450244,0.0006301991429291656
0.00028077639628450244,0.0006932190572220821
0.0003930869547983035,0.0006932190572220821
0.0003930869547983035,0.0007562389715149988
0.0003963902065192976,0.0007562389715149988
0.0003963902065192976,0.0008192588858079153
0.00041620971684526247,0.0008192588858079153
0.00041620971684526247,0.0008822788001008318
0.0004261194720082449,0.0008822788001008318
0.0004261194720082449,0.0009452987143937484
0.00046906174438116885,0.0009452987143937484
0.00046906174438116885,0.001008318628686665
0.00048557800298613957,0.001008318628686665
0.00048557800298613957,0.0010713385429795815
0.0005087007650330986,0.0010713385429795815
0.0005186105201960811,0.0010713385429795815
0.0006210113235468995,0.0010713385429795815
0.0006210113235468995,0.001134358457272498
0.0006573470924778351,0.001134358457272498
0.0006573470924778351,0.0011973783715654147
0.0007795674061546186,0.0011973783715654147
0.0007795674061546186,0.0012603982858583312
0.0007828706578756128,0.0012603982858583312
0.0007828706578756128,0.0013234182001512478
0.0008984844681104079,0.0013234182001512478
0.0008984844681104079,0.0013864381144441643
0.0009150007267153786,0.0013864381144441643
0.0009150007267153786,0.001449458028737081
0.0010074917749032146,0.001449458028737081
0.0010074917749032146,0.0015124779430299975
0.0010174015300661971,0.0015124779430299975
0.0010174015300661971,0.001575497857322914
0.00108346656448608,0.001575497857322914
0.0010900730679280683,0.001575497857322914
0.0010966795713700567,0.001575497857322914
0.001103286074812045,0.001575497857322914
0.0011528348506269573,0.001575497857322914
0.0011528348506269573,0.0016385177716158306
0.0011858673678368987,0.0016385177716158306
0.0011858673678368987,0.0017015376859087473
0.0012023836264418693,0.0017015376859087473
0.0012023836264418693,0.0017645576002016637
0.0012255063884888285,0.0017645576002016637
0.0012255063884888285,0.0018275775144945803
0.0012684486608617524,0.0018275775144945803
0.0012684486608617524,0.0018905974287874968
0.0013246039401186528,0.0018905974287874968
0.0013246039401186528,0.0019536173430804134
0.0014038819814225123,0.0019536173430804134
0.0014038819814225123,0.00201663725737333
0.001440217750353448,0.00201663725737333
0.001440217750353448,0.0020796571716662467
0.001443521002074442,0.0020796571716662467
0.001443521002074442,0.002142677085959163
0.0014897665261683602,0.002142677085959163
0.0014897665261683602,0.0022056970002520796
0.0015029795330523366,0.0022056970002520796
0.0015029795330523366,0.002268716914544996
0.0015393153019832722,0.002268716914544996
0.0015393153019832722,0.002331736828837913
0.0015459218054252606,0.002331736828837913
0.0015459218054252606,0.0023947567431308295
0.0016251998467291201,0.0023947567431308295
0.0016251998467291201,0.0024577766574237457
0.0016978713845909913,0.0024577766574237457
0.0016978713845909913,0.0025207965717166624
0.0017242973983589446,0.0025207965717166624
0.0017242973983589446,0.002583816486009579
0.001754026663847892,0.002583816486009579
0.001754026663847892,0.0027098563145954123
0.0018200916982677748,0.0027098563145954123
0.0018200916982677748,0.0027728762288883285
0.0018333047051517515,0.0027728762288883285
0.0018333047051517515,0.002835896143181245
0.0018729437258036812,0.002835896143181245
0.0018729437258036812,0.002898916057474162
0.0018795502292456693,0.002898916057474162
0.0018795502292456693,0.0029619359717670784
0.0019423120119445583,0.0029619359717670784
0.0019423120119445583,0.003024955886059995
0.0019489185153865466,0.003024955886059995
0.0019489185153865466,0.0030879758003529117
0.0019687380257125114,0.0030879758003529117
0.0019687380257125114,0.003150995714645828
0.0019786477808754937,0.003150995714645828
0.0019786477808754937,0.0032770355432316612
0.001981951032596488,0.0032770355432316612
0.001981951032596488,0.003340055457524578
0.0019918607877594703,0.003340055457524578
0.0019918607877594703,0.0034030753718174945
0.0019984672912014586,0.0034030753718174945
0.0019984672912014586,0.0034660952861104107
0.0020116802980854353,0.0034660952861104107
0.0020116802980854353,0.0035291152004033274
0.0020348030601323942,0.0035291152004033274
0.0020348030601323942,0.003592135114696244
0.002057925822179353,0.003592135114696244
0.002057925822179353,0.0036551550289891607
0.002117384353157248,0.0036551550289891607
0.002117384353157248,0.0037181749432820773
0.002120687604878242,0.0037181749432820773
0.002120687604878242,0.0037811948575749935
0.0021305973600412244,0.0037811948575749935
0.0021305973600412244,0.003907234686160827
0.0021471136186461954,0.003907234686160827
0.0021471136186461954,0.0039702546004537435
0.0021504168703671894,0.0039702546004537435
0.0021504168703671894,0.00403327451474666
0.0021537201220881838,0.00403327451474666
0.0021537201220881838,0.004096294429039577
0.002163629877251166,0.004096294429039577
0.002163629877251166,0.004159314343332493
0.0022032688979030956,0.004159314343332493
0.0022032688979030956,0.00422233425762541
0.00220657214962409,0.00422233425762541
0.00220657214962409,0.004285354171918326
0.0022164819047870723,0.004285354171918326
0.0022164819047870723,0.0043483740862112425
0.0022197851565080667,0.0043483740862112425
0.0022197851565080667,0.004411394000504159
0.0022230884082290606,0.004411394000504159
0.0022230884082290606,0.004474413914797076
0.002226391659950055,0.004474413914797076
0.002226391659950055,0.004600453743382909
0.0022363014151130373,0.004600453743382909
0.0022363014151130373,0.004663473657675826
0.0022429079185550256,0.004663473657675826
0.0022429079185550256,0.004726493571968742
0.002249514421997014,0.004726493571968742
0.002249514421997014,0.004789513486261659
0.002259424177159996,0.004789513486261659
0.002259424177159996,0.004852533400554576
0.002269333932322979,0.004852533400554576
0.0022759404357649672,0.004852533400554576
0.002282546939206955,0.004852533400554576
0.002282546939206955,0.004915553314847491
0.0023387022184638557,0.004915553314847491
0.0023387022184638557,0.004978573229140408
0.0023585217287898207,0.004978573229140408
0.0023585217287898207,0.005041593143433325
0.0023618249805108147,0.005041593143433325
0.0023618249805108147,0.005104613057726241
0.002365128232231809,0.005104613057726241
0.002365128232231809,0.005167632972019158
0.0024014640011627447,0.005167632972019158
0.0024014640011627447,0.005230652886312075
0.0024047672528837386,0.005230652886312075
0.0024047672528837386,0.005356692714897908
0.002434496518372686,0.005356692714897908
0.002434496518372686,0.005419712629190825
0.0024675290355826275,0.005419712629190825
0.0024675290355826275,0.005482732543483741
0.002493955049350581,0.005482732543483741
0.002493955049350581,0.005545752457776657
0.0025104713079555515,0.005545752457776657
0.0025104713079555515,0.005608772372069574
0.0025203810631185338,0.005608772372069574
0.0025203810631185338,0.005734812200655407
