test_network,auc,ap,f1,precision,recall
ieee118,0.7406533668564302,0.07589249829588253,0.15701228386796298,0.08698877564185266,0.8050746268656717
ieee24,0.7395966989069899,0.3112504844512179,0.42208020226139475,0.3033821302372539,0.6933548684817721
ieee39,0.6217527591703128,0.08701853811501584,0.16029002395287112,0.09634991049887151,0.4765204003079292
uk,0.8940075635449993,0.14028277157641442,0.112148087037228,0.059504267892317796,0.9727191413237924
